country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9829763.866,,52228583.82,52410268.55,64062121.19,66757573.06,68234148.57,68052142.07,66247626.46,64106405.65,76587998.89,98070488.2,140738102.7,188189116.4,280108688.3,395994365.4,359499343.5,395011507.8,390871433.9,380571678.9,444551859.5,457807021.8,447379807.5,431396218.6,443610413.3,513252026.5,652000174.8,633960400.1,619435471.7,795201580
American Samoa,ASM,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (current USD),MS.MIL.XPND.CD,459760073.6,470960075.4,489440078.3,553280088.5,655760104.9,787360126,986720157.9,1197840192,1321600211,1314880210,1277360204,1331754789,1484443745,1855729307,2127274763,2268707674,2441084025,2500485127,2816316206,3100685079,3657867290,4323644157,4459544582,4511671066,4925319433,4386859326,4606710028,5057135655,5836347868,6300015815,6704213698,7023509067,6882091580,6733829290,7459696582,7665878446,8202776517,7936884917,7107542891,7770250653,7273760313,7043145895,7946766202,9926649415,11995219710,13237798499,14239779513,17186440962,18633092318,18960138513,23217692816,26597198655,26216580848,24825262589,25783708714,24046205860,26382947050,27691112417,26839820914,26079346314,27300894701,32718066817,32298918664
Austria,AUT,Military expenditure (current USD),MS.MIL.XPND.CD,91559097.96,91029854.62,100026991.4,125959915.1,164594679,142895702,167770139,176767275.8,182059709.2,193173819.4,199524739.5,209277606.7,249425547.4,328898821.4,422543505.8,546724394,581408727.3,686893244.3,877450655.2,1049972515,1152895906,969372327.1,995369996.9,991995097.5,949715291.7,1036872489,1475426089,1737112605,1713954577,1623488055,1972701682,1994055546,2139925322,2115115267,2227560550,2557834494,2457903049,2164802343,2159796003,2124379546,1925557398,1788798311,1881746741,2381962769,2679282065,2686166244,2640185362,3499817967,3746731607,3334754940,3218351224,3409721209,3187227449,3229065841,3305159256,2665409782,2885947386,3153118624,3387982012,3336542768,3840077511,4196428571,3625564802
Azerbaijan,AZE,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11070110.7,77519379.84,43942747.06,66159968.91,71606841.24,92086691.97,107262858.6,120262174,119575651.7,131963660.1,139894091.9,176552162.3,228249631.6,304521477.7,717111853.6,946599792.1,1607799226,1472909977,1476608734,3080084996,3246122613,3367574161,3427179917,2900551382,1396969108,1528859592,1672176471,1854235294,2237764706,2703176471,2991035294
Burundi,BDI,Military expenditure (current USD),MS.MIL.XPND.CD,,,8420000,1012000,1162000,2153481.481,2286857.143,2376000,2590857.143,3337142.857,,2628571.429,3600000,5923067.599,7682539.683,8533333.333,9971014.493,13955555.56,17033333.33,20000000,27763333.33,29995555.56,36665555.56,34369644.2,29938434.04,32220298.12,34607737.52,30784856.43,34255493.43,37903281.72,39602347.38,42751758.83,38986476.43,36267402.59,41909745.03,42108929.88,50893980.78,61870123.83,58736036.23,50571188.26,42321552.22,53230373.11,44910067.05,43413201.31,44872377.15,49557129.38,44717502.04,46308706.22,43856319.95,,,,58966662.28,60859500.09,62177428.74,66164584.44,66462843.08,63908678.43,65436595.26,84689413.92,67474092.72,68376397.14,101434221.2
Belgium,BEL,Military expenditure (current USD),MS.MIL.XPND.CD,383220247.4,391218827.4,422220787.9,444601321.5,497059226.9,500722082.8,563377895.4,607918707.2,646381114.5,675078864.4,747755088.9,828721558.4,1026588091,1296519775,1482318436,1927662478,2109619988,2496513862,3166647025,3631580468,3958575327,3385176171,2891774968,2671831608,2407447484,2428223977,3404311038,4162992929,4097149308,3880733006,4644324241,4624500746,4131298112,3746042851,3944101813,4449014835,4241865968,3684095389,3664288413,3598447520,3190805233,3036035472,3147146017,3875697772,4262663513,4228224643,4307895341,5163979974,6295821584,5620670063,5244720513,5499370964,5168997834,5263164883,5191507315,4202062770,4255489555,4432808396,4840126058,4761195701,5317451271,6239356670,6867022306
Benin,BEN,Military expenditure (current USD),MS.MIL.XPND.CD,1301005.322,2173203.947,2734537.618,2963071.799,3803662.454,3994923.713,3724387.206,3910553.209,4293821.825,4015987.013,4099087.202,4285361.496,4904216.992,6698401.446,6447726.47,7857666.124,7160493.827,10147346.14,8552841.493,17562828.48,23617947.75,17186114.21,16554779.89,17765951.31,21237787.7,19810222.52,26277338.54,35602937.41,36931589.27,28525930.38,32817291.98,,,,,,,,,17843134.39,14496275.16,13112535.62,26000447.64,34544046.8,41780478.34,44706029.56,46786130.93,,64724601.11,,,,78223091.04,86003157.64,92990706.19,90896085.89,79581568.05,116142782.4,90212425.99,68112390.31,71817818.48,97424488.81,97183042.49
Burkina Faso,BFA,Military expenditure (current USD),MS.MIL.XPND.CD,1268378.23,1643154.204,4901760.716,5281287.753,5358593.135,3509330.33,3907553.79,3695106.93,3760628.522,4023680.475,4185916.94,4343468.092,4947862.936,6079259.183,6269084.564,18062366.73,19531282.7,22903777.27,32372283.48,32032417.9,35360658.84,33915894.76,32866107.13,29317755.98,26968328.69,27106616.84,51180170.14,50712557.85,57186887.27,66816506.17,84465502.36,69505542.22,71116618.56,60526975.63,30259093.49,36862814.24,37141874.14,38549246.23,39494738.56,41741175.48,36658539.05,36832965.23,42468449.96,50757054.37,65684242.41,73843342.16,72632867.33,107816728.5,116999586.9,127333296.6,123700474.7,138850860.2,147729698.9,166136345.2,177166971.8,147934736.7,149467363.2,191065838.8,305781079.1,357921557.5,382464677.4,458279098.4,562583349.2
Bangladesh,BGD,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,48606800.13,72298235.04,80830559.47,105287729.1,128522908.8,134871031.7,136251932.9,167255351.2,174106138.7,184674562.5,231804492.5,244337571.5,224948007.1,248796417.2,288311839.7,331995586.6,378796135.2,373023439,381720110.1,427723625,471044672.3,547417522.2,620095155.9,638958844.8,681915124,701585600.4,737412573.6,740798160,705481695.2,681816161.7,719442956.9,770641160.3,773677668.2,829682794.8,953464223.6,1030020018,1258791157,1624625086,1801539802,1823425076,2047989071,2355991525,2815281641,3239753510,3266033239,3649623808,4348501895,4651183348,4965775244,4806263481
Bulgaria,BGR,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071428571,794520547.9,232176386.6,255770911.5,282674243.3,241993434.8,311147105.6,213616356.3,244369396.2,320389011.3,357224539.6,351343204.9,406003542.8,455950466.5,569054077.5,620909015.9,667670395.7,715719535.4,990168293.6,1161451478,904961292.1,832549293,757931260,722052495,811634330.2,747532532.1,632509635,670592858.4,720037970.9,961297274.6,2158557527,1119011540,1275244891,1335963350
Bahrain,BHR,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,11583922.36,12539956.86,16765508.09,26346455.9,16434892.54,26289247.45,40439782.64,116143119.3,157225700.1,175066313,239361702.1,311170212.8,183510638.3,164893617,167553191.5,178191489.4,178191489.4,207446808.5,218085106.4,239361702.1,263297872.3,279255319.1,279255319.1,284574468.1,303191489.4,321808510.6,321808510.6,329787234,364361702.1,359042553.2,372340425.5,444148936.2,515957446.8,531914893.6,513297872.3,574202127.7,642553191.5,719946808.5,828191489.4,842819148.9,1033510638,1182180851,1347606383,1475265957,1442021277,1505534574,1532712766,1527659574,1557712766,1404787234,1381382979,1381313830
"Bahamas, The",BHS,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270937039.2,,,,,,,,,,241025517.6,202282838.9,200100307.3,173304847.7,178375570.1,195049685.1,233292390.7,242471357.8,219915489.5,211878260.6,197344650.2,197617188.8,190380454.6,162215681.9,157912010.6,156258302.1,172073317.8,165369204.4,167521865.9,209721886.3,184486412.6
Belarus,BLR,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,179081676.9,182805614.6,249384139.4,227586087.3,165903848.9,140326204.7,177697841.7,204364237.4,231563860.4,314314017.8,452684068.3,631831238.1,746943264,883027522.9,675426505.1,767699285.9,756277351.3,807423262.8,959801690.3,1000013449,709908846.1,592182331.4,625637816.9,709713316.4,773713028.7,707418032.8,762776224.1,820783591.5
Belize,BLZ,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,2079250,2576875,2899750,3256125,3263000,,,,4355375,4768750,4732875,5292125,6130375,7899375,8052875,7965875,9395000,,,7116125,7454662.5,7829937.5,8552225,9486150,10710962.5,12283037.5,13759075,18717737.5,17267537.5,15337250,15416250,15219125,17778875,19916875,19717625,21712887.5,23055950,23341162.5,24424950,26025325,25152900,23673550
Bermuda,BMU,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (current USD),MS.MIL.XPND.CD,,4935417.964,5195618.571,6404292.358,,,,,11583123.79,12254609.23,16787135.93,15863843.46,20700640.94,21129139.97,39766636.07,58304466.42,66776055.56,73254329.6,97672439.47,119737096.1,159008134.9,238715537.6,123726843.5,89973482.6,144680785.7,131208000.2,92869207.22,103362387.2,92916951.67,101690872.4,137065127.5,143643960.1,141441910.3,109897118,134595240.4,140760862.8,146963017.8,180200446.9,228677000.4,176744242.1,173245422.5,188919478.6,157345536.2,173406474.5,166383141.8,163958866.2,167909985.9,195364180.9,327112735.1,305420457,335599532.7,403569202.4,499873229.6,564512107.6,625909654.6,580617340.2,519309934.3,574126113.4,602855918,593158568.6,510495827.3,569897714.5,640309309.6
Brazil,BRA,Military expenditure (current USD),MS.MIL.XPND.CD,382729752.1,342339720.8,387449035.5,441999606.2,354227857.1,632869026.5,718216574.6,746139163.6,755307566.7,816622811,1026234374,1075071453,1195501488,1512670977,1790114213,2141126693,2576476982,2499644658,2690623102,2829161200,2259307479,2517859757,3031328924,2082669251,2013151758,2687049984,2758186568,4323674770,5874167753,8761486966,9236296955,6694665295,4993804467,7099899155,10591499118,14318919608,14073226545,13934266552,14357357047,9866973919,11344032535,10930231568,9664561903,8392905884,9780111585,13588619736,16404867307,20485758015,24452903036,25648809911,34002944470,36936209896,33987005074,32874787231,32660239369,24617701683,24224746901,29261833097,28177406872,25906871197,19591209004,19187122475,20210787437
Barbados,BRB,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,97366249.74,101752153.3,110162485.9,104464429.9,178392184.5,186129028.9,231168587.6,245434285.5,251692787.5,233941291.9,261876080.2,285738475.2,328359479.2,369070790.2,293977055.4,258413177.9,244205202,217667939.2,226182431.5,243373245,199381149.3,248588079.8,293436463.5,323137150.8,361989034.5,349759722.8,390719540,415371529,411261473.9,412094279.8,527785180.5,424022039.2,403366488.7,346706804.4,357708767.5,414728739,436548223.4,453337798.6,435857351.2
Bhutan,BTN,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,5650505.962,14305862.29,24355619.03,31844060.6,31162681.75,23551463.59,24454614.24,26109660.57,20997913.35,34310908.18,73826342.81,93747094.76,102798415.8,156250839.8,172269188.2,177986045.6,185671482.9,170433762.3,165873977.8,140560134.8,160507675.1,181051047.4,169578756.2,184718394.6,210322093.6,223549258.8,301014357.8,314038897.1,283835745.1,272934274.8,306451402.7,332400254.3,330147278.7,348672725.3,363324481.2,326874161.7,306438573.6,346281321.7,383739877.5,514463449.2,522430455.5,498087432.4,514720930.2,499027479.5,536630400.9,489324154.3
Central African Republic,CAF,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21598187.92,23185438.17,19144450.37,10689745.23,13014176.16,12196218.57,,,,,,10681962.96,15018926.36,15103589.92,15396194.65,,19112519.74,31511483.79,35992384.36,51585274.5,49874328.73,42746025.19,47923241.45,38407009.92,26703885.62,26832998.82,27516264.18,30517648.41,40777666.66,44348098.08,55515012.1,42001802.66
Canada,CAN,Military expenditure (current USD),MS.MIL.XPND.CD,1702442711,1677820881,1671313753,1610091701,1657457283,1574704540,1614422827,1775500366,1797265817,1770108751,1889157918,2077659711,2233737031,2363060955,2809465529,3180915490,3581805735,3752174526,3969158477,4084145738,4744402251,5141128191,6017321456,6947104072,7349795764,7460563318,7780136740,8694447168,9897335684,10747134689,11414631847,11338503299,10788803124,10268822622,9577377640,9176903908,8615884471,7945140183,7748607984,8210778540,8299385231,8375571425,8495399281,9958245602,11336489831,12988132964,14809892803,17417139931,19342058405,18936226052,19315688825,21393720864,20452107111,18515731210,17853640478,17937641895,17782775543,22269696323,22729327580,22394875659,23082774049,25362240829,26896315905
Central Europe and the Baltics,CEB,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950091181,4921672408,4053915446,4867486888,6397697330,7369251245,8826211623,8912763074,8949858772,9216475552,8322771004,7819364628,8692492163,9813280324,11579104282,13144893461,15493211065,16772053343,20777311269,23387708102,19628558957,19401478750,20407273071,18894887159,19518058629,20798971721,19825581504,19549118998,22268862137,26859170622,29458586514,31790462579,35750799289,37103293311
Switzerland,CHE,Military expenditure (current USD),MS.MIL.XPND.CD,200093758.2,237368366.9,273728261.2,294995369.3,329525835,343475228.4,378234372.7,383265301.5,373889479.6,409105981.1,436090053.6,511387689.4,601426981.7,764969998.4,888478644,1032046117,1228176857,1226534416,1668885136,1945005774,1996765550,1810878508,1928314953,1946035043,1807905757,1966928897,2565428146,3020406521,3276156632,3082038963,4056408189,4016764413,4138043834,3611212626,3899275421,4645360982,4239447901,3498218851,3494250971,3146822887,2800146846,2763655325,2882696762,3270337504,3503819863,3484636759,3328973394,3524746536,4098459038,4055544323,4115407849,4973863849,4592165378,5032883664,4612776477,4521076909,4571348247,4628401509,4736844967,5021931590,6389669862,6214004376,6145191703
Channel Islands,CHI,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Military expenditure (current USD),MS.MIL.XPND.CD,126791042.6,160930923.5,162626224.4,152917455.4,149950377.7,168215772.4,186697964.8,182705341.3,173781024.3,179980922.7,388383950.3,651589862.9,745661188.8,1005919720,1103190481,486720076.9,599806958.7,924042756.7,1036145035,1312899709,1787179487,2292307692,2160747854,1497684301,1462262953,1137635211,1114393822,1166781370,999951022.8,988934423.2,1031475584,1038039494,1168858391,1291053676,1466048832,1827997369,1904105834,2120702608,2112373123,2043134812,2103460610,1893098224,1779553138,2067983998,2687320866,3100391591,3855358069,4022478104,4641877576,3902221588,4894081125,5686752070,5466101782,5529879481,5102777422,4630772774,4796010962,5370018135,5545831933,5182156529,5286204683,6119428217,5566455219
China,CHN,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11251332630,9926349251,9802375366,12244267842,12360225861,9867120066,12385129475,14275400820,15699586769,17031780200,20473915095,22237140151,26561462998,30284127410,33144000481,37904571827,42789953651,51453373234,62136590755,78840802820,96601666753,1.05523E+11,1.25286E+11,1.45128E+11,1.6407E+11,1.82109E+11,1.96539E+11,1.98538E+11,2.10443E+11,2.32531E+11,2.40333E+11,2.57973E+11,2.85931E+11,2.91958E+11
Cote d'Ivoire,CIV,Military expenditure (current USD),MS.MIL.XPND.CD,,,8766845.976,8064779.443,11190603.48,12902909.89,13269401.41,14711322.31,15305071.4,16156269.59,17727738.12,23968971.08,31742504.8,28713844.11,41129183.02,45886157.16,52462858.34,51449039.4,86764810.15,102735025.1,118473116.2,92002752.72,86425689.12,76251882.88,70164798.82,69565043.19,96559112.46,122780223.4,128102253.5,129676998.7,143973702.1,144168701.9,156797334.3,148635238.4,84071649.21,,102660140.1,93525611.26,,,,,,213007570.5,250811588.4,249872978.1,267360247.9,323619193.5,368910574.9,420059044.5,387692140,357330259,407596534.1,430003610.8,521260529.3,569671621.5,602538731.2,501578732.2,607848217.9,535951382.2,607155890,637656912.8,607245699.6
Cameroon,CMR,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,20339866.07,21501256.56,24894059.39,31636823.71,34625371.31,46770377.91,48470391.3,55167290.78,71436168.33,88354754.09,99867474.44,120247597.8,131616586.4,129898757.7,127243641.8,116190293.9,145411861.2,163128000.9,154370685.7,146869357.5,180577745.9,178198343.2,183796639.1,168175220.6,94517340.44,113575532.7,116936303.6,118711118.8,137245911.5,144704636.5,123034343.9,124301708.4,145626610.5,188499655.9,221107924.7,223084623.1,256927843.3,296698917.3,346586125.7,343265154,354054397.8,347477885.7,354447463.1,392840630.9,401529118.1,353815494.6,387437830.9,408157575.1,429892180.6,422294772,393299390.1,443336832,416638021.6
"Congo, Dem. Rep.",COD,Military expenditure (current USD),MS.MIL.XPND.CD,,,,58217821.78,49818181.82,78909090.91,78363636.36,45907648.68,50479041.92,72455089.82,102395209.6,101796407.2,94011976.05,102395209.6,189221556.9,173652694.6,120795356,161471103.3,214951896,190944707.6,152183675,71671583.96,147162426.6,78919799.79,53403541.41,40371344.17,67436312.94,28297227.67,214939929.1,67494749.1,45933813.55,43891987.21,85527294.36,469173805.5,,,89269879.98,83825040.92,26629667.19,149277860.3,132883821.7,,,78708031.88,137637805.5,165205060.9,205102086.6,205217223,159998426.6,122378011,183682097.5,238787546.6,332493979.4,374475653.4,341224634.4,491276877.1,395733745.2,295236074.3,295348364.6,352709565.6,362091615.5,306078782.6,371081599.9
"Congo, Rep.",COG,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,13100436.68,13749473.41,12744615.68,19426710.16,24137429.63,33493068.55,34337727.56,36633018.56,37960435.35,52566260.19,57416698.22,63535260.98,72427162.01,,49423627.5,55646692.47,,100513414.3,,,,,125617699.1,109477580.1,,,,,,,,54445943.53,70704230.2,93776668.96,124298437.4,100916074.5,126569641.8,168079588.2,207724344.3,,218390920.6,,,367057295.5,704893729.4,,501812144.9,371937055.1,292260465.3,299953239,298382191.9,313055831.5,265847972.7
Colombia,COL,Military expenditure (current USD),MS.MIL.XPND.CD,75960813.87,97313432.84,153596253.4,170000000,190000000,185202864,172592592.6,178541885,141184847.8,131638962.8,162662459.1,263898574.6,170587589.6,173879934,194904101.8,227942151.2,229146910.6,280082338.8,360663621.1,467687274.7,611248236.6,638643433.3,667866120.9,859813605.6,889730898.6,716735061,679498200.9,721331206.4,862374404.2,865205662.8,889979074.5,911467589.2,1102357227,1529432893,2005122888,2619338187,4318552316,2988711261,3389806738,3247296766,3027922793,3264438192,3347522602,3278369503,4056896991,4914190182,5326664238,6775762767,9051130502,9033202673,10422054494,10306578506,11706271913,12503812627,11845950895,9127165375,8675980823,10018029818,10134719591,10167547856,9554131505,10180134292,9937702305
Comoros,COM,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,3687650.142,3394021.938,4454431.91,4967860.701,5078572.172,,,,3557902.66,2735413.408,3431398.887,6206630.034,4261939.788,4099737.381,4513154.879,5004734.208,6801072.798,4638556.172,4520858.938,5782831.643,6452150.492,7082416.548,6985154.839,7943659.594,10758715.97,8402927.293,8239369.292,9757536.562,9736385.839,9815671.635,10048862.07,8922219.455,10171216.5,9354384.166,10714071.13,9728061.09,11279268.1,11213723.43,10250668.27
Costa Rica,CRI,Military expenditure (current USD),MS.MIL.XPND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caribbean small states,CSS,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,74059004.84,70219123.72,,,,104567945.2,,,,,,,,,,,,77754357.77,71806248.64,,,,,,,82145538.41,100872444.8,113479984.4,162040671.5,186300164.4,219665997.2,246993486,319035957.2,301655230.5,305046766.2,327552252.6,355159679.7,392549709.7,369393892.8,392109174.7,427200740.1,427927004.6,460770979.4,530172811.6,509607950.9,528549870.4,524059576.4
Cuba,CUB,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,296933962.3,62047619.05,78557142.86,76587443.95,83365638.77,89057268.72,92462555.07,94277533.04,93744493.39,126872246.7,119383259.9,125638766.5,118370044.1,123658947.4,122552919,128609127,,,,
Curacao,CUW,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
